team1,score1,team2,score2
Waubonsie,14.0,Sandburg,6.0
Evanston,9.0,Sandburg,4.0
Maine South,12.0,Waubonsie,8.0
Andrew,17.0,R-B,1.0
Chicago U,11.0,Chicago Ag,9.0
Curie,14.0,Solorio,3.0
Hoffman,19.0,Wheeling,6.0
Lindblom,14.0,Kenwood,11.0
Maine West,15.0,Jones-Payton,4.0
McHenry,17.0,Warren,7.0
Neuqua,8.0,Oak Park,5.0
NN,12.0,HC,3.0
STC,20.0,Latin,2.0
St Rita,12.0,St Ignatius,8.0
Whitney Young,11.0,Northside,7.0
BG,11.0,Loyola,6.0
Brooks,14.0,Julian,8.0
Chicago Ag,18.0,Little Village,5.0
Evanston,8.0,GBN,3.0
Fremd,19.0,Hoffman,5.0
GBS,11.0,Deerfield,5.0
Kennedy,18.0,Prosser,3.0
Jones-Payton,8.0,Amundsen,6.0
Lane,14.0,Taft,4.0
Libertyville,7.0,Mundelein,4.0
LWC,20.0,H-F,12.0
LWW,19.0,Lockport,6.0
NC,14.0,Metea,9.0
NN,14.0,Waubonsie,6.0
New Trier,13.0,Maine South,8.0
Niles West,20.0,VH,14.0
Sandburg,11.0,Bradley,9.0
STC,11.0,McHenry,4.0
Stevenson,17.0,Lake Forest,1.0
Senn,16.0,Westinghouse,15.0
St Rita,15.0,St Patrick,6.0
York,20.0,Fenwick,6.0
Amundsen,19.0,Westinghouse,11.0
BG,11.0,Wheeling,4.0
Evanston,12.0,Loyola,9.0
Kennedy,15.0,Solorio,8.0
Kenwood,17.0,Chicago Ag,7.0
Lane,19.0,St Ignatius,4.0
Lyons,10.0,HC,9.0
Meadows,14.0,Elk Grove,6.0
Oak Park,9.0,Fenwick,8.0
Palatine,9.0,Conant,6.0
Prospect,13.0,Hersey,10.0
Schaumburg,12.0,Barrington,10.0
Taft,7.0,Northside,5.0
Von,22.0,Prosser,2.0
Andrew,12.0,Sandburg,2.0
Argo,9.0,Morton,2.0
Barrington,23.0,VH,12.0
Conant,19.0,Curie,9.0
GBS,12.0,Niles West,5.0
HC,15.0,Metea,8.0
Lindblom,11.0,Brooks,8.0
Lockport,5.0,Stagg,0.0
LWC,,Bradley,
LWW,17.0,H-F,3.0
NC,12.0,STC,7.0
Neuqua,11.0,St Rita,7.0
Maine South,24.0,Maine West,10.0
Meadows,16.0,Leyden,5.0
Prospect,11.0,Maine East,2.0
Schaumburg,16.0,Mundelein,7.0
Solorio,15.0,Little Village,0.0
St Patrick,8.0,Amundsen,7.0
Stevenson,15.0,Libertyville,10.0
Von,13.0,Senn,10.0
Warren,16.0,Lake Forest,7.0
Westinghouse,12.0,Chicago U,11.0
Whitney Young,16.0,Jones-Payton,7.0
Northside,10.0,Chicago U,5.0
NC,9.0,HC,5.0
York,10.0,GBS,2.0
GBS,8.0,NC,7.0
York,12.0,HC,5.0
NN,8.0,Mundelein,2.0
New Trier,15.0,Sandburg,5.0
NN,18.0,Sandburg,1.0
New Trier,10.0,Mundelein,3.0
Taft,13.0,Kenwood,3.0
Taft,7.0,Mather,3.0
Kenwood,21.0,Chicago Ag,12.0
LWE,15.0,Barrington,14.0
LWE,19.0,McHenry,2.0
LWE,15.0,Jones-Payton,5.0
Barrington,16.0,McHenry,10.0
Barrington,20.0,Jones-Payton,3.0
Brother Rice,13.0,Andrew,8.0
Brother Rice,22.0,Warren,7.0
Brother Rice,11.0,St Rita,7.0
GBN,7.0,St Rita,6.0
GBN,14.0,Warren,9.0
Andrew,20.0,Warren,5.0
St Rita,13.0,Lockport,11.0
Lockport,10.0,GBN,5.0
BG,12.0,Maine East,4.0
R-B,12.0,Maine East,5.0
BG,14.0,R-B,4.0
Palatine,9.0,Evanston,6.0
Libertyville,9.0,Evanston,6.0
Palatine,11.0,Deerfield,2.0
Palatine,14.0,Libertyville,5.0
Evanston,13.0,Deerfield,4.0
Libertyville,8.0,Deerfield,3.0
Fremd,8.0,Loyola,3.0
Neuqua,10.0,Curie,5.0
Neuqua,13.0,Loyola,6.0
Neuqua,15.0,Fremd,9.0
Loyola,11.0,Curie,6.0
Fremd,15.0,Curie,5.0
NC,12.0,Mundelein,10.0
HC,15.0,Sandburg,3.0
New Trier,14.0,GBS,2.0
York,8.0,NN,7.0
Sandburg,12.0,Mundelein,7.0
NC,13.0,HC,7.0
NN,11.0,GBS,5.0
New Trier,8.0,York,4.0
Shepard,14.0,Kenwood,6.0
Shepard,10.0,Elk Grove,5.0
Kenwood,13.0,Elk Grove,3.0
Mt Carmel,8.0,Bremen,5.0
Mt Carmel,12.0,Argo,6.0
Bremen,10.0,Argo,9.0
Kenwood,14.0,Argo,10.0
Bremen,13.0,Elk Grove,3.0
Mt Carmel,11.0,Shepard,6.0
Niles West,8.0,HP,2.0
Niles West,9.0,Metea,6.0
Waubonsie,13.0,Niles West,6.0
Waubonsie,6.0,Metea,5.0
Andrew,19.0,Argo,5.0
Curie,16.0,Kennedy,7.0
Fenwick,9.0,Morton,2.0
Libertyville,9.0,BG,4.0
Palatine,14.0,Hersey,6.0
Prospect,18.0,Hoffman,11.0
Schaumburg,17.0,VH,10.0
St Patrick,8.0,Meadows,4.0
Warren,11.0,R-B,6.0
Andrew,19.0,LWC,8.0
BG,15.0,McHenry,5.0
